n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
60,5,6,563,0.5403178669276083,0.9025,1.0283031620004146,0.8275
61,7,6,839,1.5558950428301892,0.7525,0.9325155238236096,0.8125
62,8,6,912,0.7568911709728818,0.9025,0.9346139914953309,0.8375
63,9,6,404,0.5334329780758019,0.895,0.8303050729666963,0.8075
64,0,7,850,1.4214698929049865,0.775,1.7315521563142926,0.7275
65,1,7,901,0.16279162604189465,0.9625,1.4499868315486086,0.7075
66,2,7,673,0.5703301904804849,0.8925,1.8832398640023382,0.6575
67,3,7,597,0.38851869869115996,0.9275,1.9219617934933604,0.6525
68,4,7,680,1.420524626367283,0.81,1.2643871170965826,0.7425
69,5,7,441,0.5354503740299155,0.8875,1.988369752645716,0.6375
70,6,7,928,0.9442334744267664,0.855,1.8215071176906301,0.7025
71,8,7,559,0.5855157741214799,0.885,1.451021434719486,0.715
72,9,7,761,0.30082958012934935,0.925,1.5419115604547482,0.7175
73,0,8,657,1.8733173393087024,0.75,1.0002520652848528,0.8275
74,1,8,812,0.1836912887189521,0.9575,0.9597101479017089,0.825
75,2,8,791,0.4993162147118102,0.91,1.0247625098996518,0.85
76,3,8,893,0.6683565418993169,0.9025,0.7819751388541893,0.8225
77,4,8,745,1.1028838155547867,0.825,0.6061818030792916,0.825
78,5,8,857,0.6727045827629843,0.8725,0.6124847721332313,0.8775
79,6,8,989,0.9581659931223236,0.85,0.5369079161554446,0.89
80,7,8,511,1.4068285937365268,0.75,0.6462532642689394,0.8625
81,9,8,657,0.5989150195929399,0.8925,0.7932175683402459,0.825
82,0,9,708,1.3522578098665512,0.78,0.5684008596475812,0.885
83,1,9,269,0.16000214257481024,0.955,0.40488192684535446,0.87
84,2,9,300,0.8755873644565011,0.845,0.5396591446965124,0.85
85,3,9,888,0.33437494110715005,0.935,0.6125283053276345,0.8825
86,4,9,694,1.1866086957045412,0.825,0.42122231267446997,0.89
87,5,9,753,0.6450255944390959,0.8625,0.529379942039225,0.8475
88,6,9,948,1.0422578344698223,0.84,0.7508982401177946,0.845
89,7,9,990,1.2222605605145322,0.76,0.36635204291714196,0.9175
90,8,9,741,0.7816626968296426,0.88,0.8114243981167091,0.8525
