n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
40,0,3,822,1.811319565626194,0.755,0.4730954538249132,0.9125
41,1,3,605,0.203712971241348,0.9625,0.563521512579544,0.8975
42,2,3,845,0.880069430411808,0.9075,0.44179454382244565,0.9175
43,4,3,827,1.4076063146130444,0.8025,0.5022673306315582,0.915
44,5,3,971,0.6737577400820105,0.9,0.5113818618133397,0.915
45,6,3,945,0.957013632596289,0.87,0.4806230856750514,0.925
46,7,3,975,1.2987420212951932,0.8175,0.5201987496566108,0.905
47,8,3,241,0.43555388182735044,0.905,0.3542324137604465,0.89
48,9,3,408,0.39286026866221324,0.915,0.47864656246130466,0.91
49,10,3,954,0.8452573316906599,0.8625,0.5075198735292025,0.915
50,11,3,743,1.2888576705376955,0.8325,0.770906511038544,0.895
51,12,3,909,0.2718617038426049,0.9425,0.6974791897690368,0.895
52,13,3,731,0.6720251399436014,0.8975,0.5989583786133925,0.91
53,0,4,986,1.2822678896182294,0.815,1.6283127127896013,0.7825
54,1,4,521,0.16946031544559623,0.9725,0.7997285744966007,0.85
55,2,4,705,0.8497421199644593,0.885,1.2765180305275456,0.8
56,3,4,694,0.6677282203320059,0.92,1.506082881405136,0.7775
57,5,4,810,0.7464121882419248,0.915,1.5921888352204383,0.785
58,6,4,476,0.7271362690741925,0.865,1.313692022438255,0.795
59,7,4,585,1.2845641496070863,0.79,1.6495945854547545,0.765
60,8,4,783,0.6072302803012555,0.9175,1.4657852153621769,0.795
61,9,4,813,0.3714361387804711,0.9425,0.9612497276424176,0.8525
62,10,4,821,1.0500901262870879,0.8475,1.4538854432623076,0.805
63,11,4,618,1.3831785859281223,0.835,1.2061758625160666,0.82
64,12,4,765,0.16758538318860827,0.96,1.3483791829327842,0.8275
65,13,4,888,0.5669793311817922,0.9075,1.4681853475618136,0.8125
66,0,5,343,1.0051260076192172,0.7925,0.5861391272295058,0.885
67,1,5,977,0.19244909095981225,0.9625,0.8982412414605189,0.87
68,2,5,954,0.5817576679145248,0.915,0.6833329474572555,0.8875
69,3,5,886,0.48885102985620144,0.93,0.5794132654619049,0.9125
70,4,5,895,1.4337275388058441,0.805,0.8692583997499854,0.8625
71,6,5,944,1.1596140581498136,0.8575,0.5504682102151514,0.9
72,7,5,521,1.1428207158576045,0.8075,0.5697152188364327,0.885
73,8,5,171,0.39183576832622113,0.905,0.5264809449952239,0.8525
74,9,5,955,0.3876395446630505,0.9375,0.948931715757672,0.855
75,10,5,620,0.7198464296712688,0.87,0.7043502264664214,0.875
76,11,5,904,1.3597372510136365,0.8475,0.8331725582331542,0.86
77,12,5,575,0.2444712053818524,0.955,0.4787817889548013,0.8825
78,13,5,610,0.6015046513586199,0.89,0.5842528245840208,0.8725
79,0,6,596,1.812676759249662,0.7525,0.7675674482994088,0.8625
80,1,6,914,0.21586648115208143,0.9625,1.2064037746284584,0.855
81,2,6,413,0.7016795267449589,0.9075,1.0364072653976055,0.85
82,3,6,532,0.26154709348389293,0.9475,0.8039434658951556,0.835
83,4,6,983,1.35515559890562,0.83,1.444960706015087,0.84
84,5,6,453,0.4725591645898566,0.93,0.8676935419601011,0.83
85,7,6,801,1.2678605147391795,0.8025,0.967944774019255,0.86
86,8,6,404,0.39556539304294835,0.9275,0.9667623484126051,0.8225
87,9,6,893,0.22440166891853172,0.945,1.0904486097096322,0.82
88,10,6,784,0.77379336802098,0.86,1.1941749094481164,0.84
89,11,6,641,1.4268864932309315,0.825,1.0568060099129672,0.8325
90,12,6,973,0.18874566563789807,0.9525,1.3609012790624535,0.8025
91,13,6,226,0.5487021876321488,0.9,0.603703679431105,0.8325
92,0,7,961,1.8398117982467719,0.77,1.360996277828734,0.825
93,1,7,603,0.16345446870570393,0.975,1.5655493683508745,0.7525
94,2,7,716,0.9438367077948134,0.9075,1.3706988382231358,0.77
95,3,7,588,0.3555662251557329,0.945,1.3396214737802887,0.745
96,4,7,661,1.2097274251420123,0.8475,1.3863159121391142,0.7725
97,5,7,912,0.685384473638865,0.9,1.3573991659781892,0.7825
98,6,7,302,0.6617877163370915,0.8725,1.5279614229238447,0.7075
99,8,7,603,0.6677339283682697,0.8975,1.810697554003647,0.72
100,9,7,825,0.3729653928937488,0.93,1.4072204240453041,0.7975
101,10,7,816,0.837059811921472,0.8775,2.116419769420612,0.74
102,11,7,849,1.4739023876533568,0.84,1.764421192388303,0.7675
103,12,7,850,0.28118838798053397,0.9425,1.3442968660873953,0.805
104,13,7,922,0.6065407252013281,0.9075,1.3508700453288673,0.7575
105,0,8,630,1.6908455479295903,0.74,0.7711858280794649,0.895
106,1,8,690,0.1443193739235109,0.9725,0.6462170762770084,0.905
107,2,8,507,0.726079372029138,0.9125,0.8024140840732185,0.8625
108,3,8,511,0.3209017312803617,0.93,0.8418463940079748,0.8625
109,4,8,932,1.3592244610887851,0.82,0.7733509017125801,0.8925
110,5,8,540,0.5473518885449586,0.9,0.6610934250000575,0.885
111,6,8,476,0.7549786689231598,0.8825,0.5320885967901887,0.8975
112,7,8,716,1.59560083348677,0.7925,0.6045451097109937,0.8875
113,9,8,893,0.35437049935260495,0.94,0.648037688019886,0.9
114,10,8,520,0.6537017788418379,0.8675,0.7042159556985792,0.8775
115,11,8,641,1.1710140328661205,0.845,0.6930935599516301,0.8775
116,12,8,879,0.38283995735233556,0.935,1.035986462117695,0.8425
117,13,8,898,0.5871917998186844,0.9175,0.8370569851115122,0.8625
118,0,9,273,1.404173861799636,0.745,0.4683860292120826,0.8925
119,1,9,89,0.18695715685682343,0.965,0.323034318912179,0.895
120,2,9,447,0.8941028210071004,0.905,0.5419409171308492,0.885
121,3,9,832,0.282369809295763,0.94,0.6186359910932477,0.91
122,4,9,987,1.6594078501852225,0.845,0.7545357428544148,0.895
123,5,9,873,0.7927079315823956,0.8875,0.712921983026191,0.91
