n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
1,1,0,111,1.196809228104541,0.675,1.2558096148910616,0.675
2,2,0,258,0.04603413051378464,0.99,0.08482725937640963,0.9675
3,3,0,254,0.04119998509834091,0.9925,0.07225416102626259,0.97
4,4,0,197,0.868633902311749,0.78,0.12296261600136352,0.955
5,5,0,195,1.3619612025050525,0.705,0.10791233464032526,0.9675
6,6,0,298,1.8748044599593197,0.6525,0.06141967328906291,0.98
7,7,0,202,1.811432016970132,0.6575,0.11451177336031364,0.9725
8,8,0,269,1.3334330633522429,0.75,0.06896175055325685,0.9775
9,9,0,178,0.6051093010456159,0.8375,0.122190759133153,0.955
10,0,1,117,1.37005188118129,0.66,1.5452830933810882,0.615
11,2,1,259,0.05454609594177471,0.9875,0.09237411890014904,0.9675
12,3,1,284,0.02889533968350898,0.9925,0.11801734979719418,0.9575
13,4,1,199,0.9309926242158291,0.7875,0.1339998221078819,0.9625
14,5,1,178,1.5806367832177184,0.6675,0.12082905133349298,0.97
15,6,1,224,1.7743525783998528,0.6575,0.08602954352250707,0.9725
16,7,1,285,1.9786006289855462,0.6475,0.0515376495339492,0.9775
17,8,1,200,0.9701748689818697,0.805,0.05835314508445677,0.985
18,9,1,276,0.9175094852539329,0.8075,0.06855274049463929,0.9725
19,0,2,282,0.11257626002485702,0.98,0.08138048676034512,0.965
20,1,2,287,0.06514151089804468,0.9875,0.09617023199276567,0.965
21,3,2,279,0.7641131920221116,0.8325,0.8899430858027562,0.815
22,4,2,248,1.0162445781984695,0.7725,0.0722965930386666,0.9825
23,5,2,121,1.4169995320016706,0.675,0.13516850105083345,0.9575
24,6,2,297,1.8808843447293142,0.6425,0.03854395262496342,0.9875
25,7,2,153,1.753558620684395,0.65,0.11241774398403886,0.9675
26,8,2,281,1.330370632818948,0.755,0.07266848036456386,0.985
27,9,2,171,0.702282632090734,0.83,0.09766834325520266,0.9675
