n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
78,13,5,231,0.5119664360438895,0.9075,0.3404592197204613,0.895
79,0,6,115,1.2030255334600537,0.75,0.5352804904112454,0.8575
80,1,6,114,0.10558178359514295,0.975,0.4702931146128018,0.865
81,2,6,124,0.5729571735930277,0.905,0.623334819050255,0.815
82,3,6,107,0.32452652118388137,0.94,0.5035942767140378,0.875
83,4,6,127,0.983800278417605,0.815,0.6466966253770512,0.84
84,5,6,217,0.39268095739876085,0.9125,0.6363513800106353,0.855
85,7,6,208,1.3192391801902492,0.76,0.6331023117084698,0.8625
86,8,6,62,0.2973682735917323,0.9275,0.5348070802331449,0.8375
87,9,6,86,0.3397334692268612,0.9075,0.6624547798276121,0.825
88,10,6,197,0.7362646906954292,0.84,0.5808390732614541,0.8525
89,11,6,212,0.8938458127334643,0.8275,0.6793278257292799,0.825
90,12,6,188,0.2637753187158301,0.935,0.6426555505568533,0.835
91,13,6,194,0.39086202497305594,0.915,0.5378723553143316,0.875
92,0,7,97,1.198957927446526,0.7575,0.694497623404423,0.8225
93,1,7,255,0.14381125495962432,0.9675,0.8436123289566837,0.7925
94,2,7,295,0.534469498135607,0.9025,0.9521344979405629,0.76
95,3,7,129,0.3022522831206996,0.9275,0.8488919369239918,0.7875
96,4,7,239,1.1060250242514384,0.81,0.9651329540264039,0.795
97,5,7,129,0.3439805856844748,0.9125,0.953626569138612,0.75
98,6,7,171,0.7584775632723633,0.84,0.9825574260775889,0.7775
99,8,7,95,0.3732528030921179,0.9075,0.9174150671027792,0.7775
100,9,7,195,0.38537680214430975,0.915,0.9733545372152677,0.765
101,10,7,234,0.6683570339909404,0.8525,0.9296760603714698,0.78
102,11,7,262,1.008705031130332,0.825,0.9354829838069032,0.785
103,12,7,296,0.20888028506130157,0.94,1.0360530340957148,0.77
104,13,7,172,0.48662619594783446,0.9075,0.9651548822311783,0.78
105,0,8,236,1.1245644590654797,0.76,0.4395618992282788,0.8775
106,1,8,93,0.12774066104534076,0.97,0.43737028573881565,0.8525
107,2,8,192,0.618642352990946,0.8875,0.5096282941901796,0.8625
108,3,8,207,0.38068741875115564,0.925,0.45829850319952414,0.875
109,4,8,143,1.0745950736759324,0.8,0.3895642168127226,0.8875
110,5,8,188,0.39705716192177165,0.9075,0.4847628951941621,0.86
